name,addr
明一藥局,台北市南京東路五段59巷28弄25號
明信藥局,台北市民生西路66巷3號
明星大藥局,台北市光復南路430之1號
明美藥局,台北市長春路69號
明湖藥局,台北市東湖路7巷27號
明華藥局,台北市清江路10號
易昌大藥局,台北市懷寧街22號
杭州藥局,台北市丹陽街29號
東北藥局,台北市新東街3巷2號
東京晟藥局,台北市辛亥路四段97號
東東藥局,台北市龍江路172之1號
東海藥局,台北市松山路506號
東華藥局,台北市汀州路三段113號
東陽西藥局,台北市中央南路一段203號
東鴻藥局,台北市臨沂街71巷3號
松山八德藥局,台北市八德路二段400號
松山大藥局,台北市永吉路436號
松山民生藥局,台北市民生東路五段107號
松仁藥局,台北市松仁路233號
松田藥局,台北市延吉街9之6號
松發藥局,台北市永吉路30巷86號
松隆藥局,台北市虎林街65號
松達藥師藥局,台北市內湖路一段285巷65弄9號
松德盛康藥局,台北市松德路40號
林森建誠中西藥局,台北市林森北路613號
欣平藥局,台北市忠孝東路三段199號
欣生藥局,台北市民生東路五段138巷1號
欣安藥局,台北市東園街190、192號
欣榮藥局,台北市瑞安街270號
武昌藥局,台北市昆明街96巷10號
武璋大藥局,台北市伊通街97號
泓安藥局,台北市興華路75號
社子全民藥局,台北市延平北路五段120號
社正藥局,台北市社正路12號
芝山藥局,台北市福華路154號
芝欣藥局,台北市八德路三段148號
芳茂藥局,台北市成功路四段151號
芳圓藥局,台北市社子街26之1號
芳鄰藥局,台北市虎林街145號
金生藥局,台北市長安東路2段167之1號
金泰藥局,台北市漢口街二段28號
金福星西藥局,台北市合江街79號
長生藥局,台北市松江路362巷55號
長安藥局,台北市長安東路二段171之3號
長宜藥局,台北市自強街112號
長青世貿藥局,台北市基隆路1段333號
長青藥局,台北市興安街55號
長虹藥局,台北市忠孝東路4段216巷32弄1號
長泰藥局,台北市西園路二段280號
長愛藥局,台北市萬大路304號
阿里藥局,台北市錦州街251號
青年宏越藥局,台北市青年路44號
青康藥局,台北市延吉街248號
保德中華藥局,台北市中華路二段159號
保德明水藥局,台北市北安路608巷4弄1號
保慶藥局,台北市保安街21號
信光藥局,台北市文昌路68號
信安健康藥局,台北市仁愛路4段122巷58號
信昌藥局,台北市長泰街36號
信桉藥局,台北市莊敬路236號
信康藥局,台北市南昌路一段143號
信隆藥局,台北市仁愛路四段496巷5號
信義健康藥局,台北市松山路287巷2號
信義盛康藥局,台北市信義路六段69號
信義藥局,台北市青年路28號
前港盛康藥局,台北市前港街28號
南京建誠中西藥局,台北市南京東路五段59巷31弄43號
南和藥局,台北市泉州街141號
